#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 600  14
# Band-Index    1
   1.85438     -7.912440  0.408  0.035  0.047  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.86019     -7.913159  0.408  0.034  0.049  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.86599     -7.913959  0.408  0.033  0.049  0.000  0.000  0.000  0.000  0.000  0.000  0.491
   1.87180     -7.914839  0.408  0.032  0.050  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.87760     -7.915799  0.408  0.032  0.051  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.88341     -7.916836  0.408  0.031  0.051  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.88921     -7.917950  0.408  0.030  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.89501     -7.919139  0.407  0.029  0.053  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.90082     -7.920402  0.407  0.029  0.054  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.90662     -7.921737  0.407  0.028  0.055  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.91243     -7.923142  0.407  0.027  0.055  0.000  0.000  0.000  0.000  0.000  0.000  0.490
   1.91823     -7.924616  0.406  0.026  0.057  0.000  0.000  0.000  0.000  0.000  0.000  0.489
   1.92404     -7.926157  0.406  0.026  0.057  0.000  0.000  0.000  0.000  0.000  0.000  0.489
   1.92984     -7.927745  0.406  0.025  0.058  0.000  0.000  0.000  0.000  0.000  0.000  0.489
   1.93564     -7.929413  0.406  0.024  0.059  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.94145     -7.931150  0.405  0.024  0.059  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.94725     -7.932937  0.405  0.023  0.061  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.95306     -7.934781  0.405  0.022  0.061  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.95886     -7.936679  0.404  0.022  0.061  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.96467     -7.938630  0.404  0.021  0.063  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.97047     -7.940629  0.404  0.020  0.063  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.97628     -7.942676  0.404  0.020  0.064  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.98208     -7.944768  0.403  0.019  0.065  0.000  0.000  0.000  0.000  0.000  0.000  0.488
   1.98788     -7.946893  0.403  0.018  0.065  0.000  0.000  0.000  0.000  0.000  0.000  0.487
   1.99369     -7.949067  0.402  0.018  0.066  0.000  0.000  0.000  0.000  0.000  0.000  0.486
   1.99949     -7.951279  0.402  0.018  0.067  0.000  0.000  0.000  0.000  0.000  0.000  0.486
   2.00530     -7.953525  0.402  0.017  0.067  0.000  0.000  0.000  0.000  0.000  0.000  0.486
   2.01110     -7.955803  0.402  0.016  0.068  0.000  0.000  0.000  0.000  0.000  0.000  0.486
   2.01691     -7.958112  0.402  0.016  0.069  0.000  0.000  0.000  0.000  0.000  0.000  0.486
   2.02271     -7.960448  0.401  0.015  0.069  0.000  0.000  0.000  0.000  0.000  0.000  0.486
   2.02852     -7.962833  0.401  0.014  0.069  0.000  0.000  0.000  0.000  0.000  0.000  0.486
   2.03432     -7.965216  0.400  0.014  0.071  0.000  0.000  0.000  0.000  0.000  0.000  0.485
   2.04012     -7.967618  0.400  0.014  0.071  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.04593     -7.970038  0.399  0.014  0.071  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.05173     -7.972471  0.399  0.012  0.073  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.05754     -7.974916  0.399  0.012  0.073  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.06334     -7.977370  0.399  0.012  0.073  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.06915     -7.979831  0.398  0.012  0.073  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.07495     -7.982296  0.397  0.010  0.075  0.000  0.000  0.000  0.000  0.000  0.000  0.484
   2.08075     -7.984763  0.397  0.010  0.075  0.000  0.000  0.000  0.000  0.000  0.000  0.483
   2.08656     -7.987228  0.397  0.010  0.075  0.000  0.000  0.000  0.000  0.000  0.000  0.482
   2.09236     -7.989691  0.397  0.010  0.077  0.000  0.000  0.000  0.000  0.000  0.000  0.482
   2.09817     -7.992111  0.396  0.009  0.077  0.000  0.000  0.000  0.000  0.000  0.000  0.482
   2.10397     -7.994560  0.396  0.008  0.077  0.000  0.000  0.000  0.000  0.000  0.000  0.482
   2.10978     -7.996998  0.396  0.008  0.078  0.000  0.000  0.000  0.000  0.000  0.000  0.482
